scenario_id,scenario_name,game_id,game_name,outcome_metric,parameter,correlation,abs_correlation,direction,rank_within_game
S0,Status quo tight control,G6,ACC/Health NZ cross-funder game,system_welfare,acc_constraint,-0.6556,0.6556,negative,1.0
S0,Status quo tight control,G6,ACC/Health NZ cross-funder game,system_welfare,data_observability,0.458,0.458,positive,2.0
S0,Status quo tight control,G6,ACC/Health NZ cross-funder game,system_welfare,marginal_contact_benefit,0.3764,0.3764,positive,3.0
S0,Status quo tight control,G6,ACC/Health NZ cross-funder game,system_welfare,acc_activity_funding,0.2971,0.2971,positive,4.0
S0,Status quo tight control,G6,ACC/Health NZ cross-funder game,system_welfare,equity_program_strength,0.183,0.183,positive,5.0
S0,Status quo tight control,G7,Ambulance conveyance game,system_welfare,ambulance_alternative_funding,0.7762,0.7762,positive,1.0
S0,Status quo tight control,G7,Ambulance conveyance game,system_welfare,data_observability,0.348,0.348,positive,2.0
S0,Status quo tight control,G7,Ambulance conveyance game,system_welfare,safety_governance,0.3223,0.3223,positive,3.0
S0,Status quo tight control,G7,Ambulance conveyance game,system_welfare,primary_kpi_salience,0.2549,0.2549,positive,4.0
S0,Status quo tight control,G7,Ambulance conveyance game,system_welfare,equity_program_strength,0.2166,0.2166,positive,5.0
S0,Status quo tight control,G8,Scope-of-practice supply game,system_welfare,scope_flexibility,0.8391,0.8391,positive,1.0
S0,Status quo tight control,G8,Scope-of-practice supply game,system_welfare,marginal_contact_benefit,0.3258,0.3258,positive,2.0
S0,Status quo tight control,G8,Scope-of-practice supply game,system_welfare,safety_governance,0.3127,0.3127,positive,3.0
S0,Status quo tight control,G8,Scope-of-practice supply game,system_welfare,gaming_controls,0.1802,0.1802,positive,4.0
S0,Status quo tight control,G8,Scope-of-practice supply game,system_welfare,equity_program_strength,0.1756,0.1756,positive,5.0
S0,Status quo tight control,G9,Telehealth/local-supply game,system_welfare,telehealth_integration,0.8033,0.8033,positive,1.0
S0,Status quo tight control,G9,Telehealth/local-supply game,system_welfare,local_inperson_loading,0.4611,0.4611,positive,2.0
S0,Status quo tight control,G9,Telehealth/local-supply game,system_welfare,marginal_contact_benefit,0.265,0.265,positive,3.0
S0,Status quo tight control,G9,Telehealth/local-supply game,system_welfare,data_observability,0.2257,0.2257,positive,4.0
S0,Status quo tight control,G9,Telehealth/local-supply game,system_welfare,telehealth_scale,-0.1493,0.1493,negative,5.0
S1,Capitation reweighting only,G1,Hospital-salience budget game,system_welfare,marginal_contact_benefit,0.5231,0.5231,positive,1.0
S1,Capitation reweighting only,G1,Hospital-salience budget game,system_welfare,primary_kpi_salience,0.5115,0.5115,positive,2.0
S1,Capitation reweighting only,G1,Hospital-salience budget game,system_welfare,data_observability,0.3608,0.3608,positive,3.0
S1,Capitation reweighting only,G1,Hospital-salience budget game,system_welfare,ambulance_kpi_salience,0.3118,0.3118,positive,4.0
S1,Capitation reweighting only,G1,Hospital-salience budget game,system_welfare,equity_program_strength,0.2929,0.2929,positive,5.0
S1,Capitation reweighting only,G10,Co-payment calibration game,system_welfare,copayment_protections,0.7145,0.7145,positive,1.0
S1,Capitation reweighting only,G10,Co-payment calibration game,system_welfare,copayment_level,-0.5846,0.5846,negative,2.0
S1,Capitation reweighting only,G10,Co-payment calibration game,system_welfare,marginal_contact_benefit,0.3558,0.3558,positive,3.0
S1,Capitation reweighting only,G10,Co-payment calibration game,system_welfare,equity_program_strength,0.1722,0.1722,positive,4.0
S1,Capitation reweighting only,G10,Co-payment calibration game,system_welfare,gaming_controls,0.1535,0.1535,positive,5.0
S1,Capitation reweighting only,G11,KPI salience game,system_welfare,primary_kpi_salience,0.5956,0.5956,positive,1.0
S1,Capitation reweighting only,G11,KPI salience game,system_welfare,marginal_contact_benefit,0.5195,0.5195,positive,2.0
S1,Capitation reweighting only,G11,KPI salience game,system_welfare,ambulance_kpi_salience,0.4141,0.4141,positive,3.0
S1,Capitation reweighting only,G11,KPI salience game,system_welfare,equity_program_strength,0.2503,0.2503,positive,4.0
S1,Capitation reweighting only,G11,KPI salience game,system_welfare,gaming_controls,0.2424,0.2424,positive,5.0
S1,Capitation reweighting only,G12,Equity and trust game,system_welfare,marginal_contact_benefit,0.6216,0.6216,positive,1.0
S1,Capitation reweighting only,G12,Equity and trust game,system_welfare,equity_program_strength,0.6028,0.6028,positive,2.0
S1,Capitation reweighting only,G12,Equity and trust game,system_welfare,stakeholder_alignment,0.3806,0.3806,positive,3.0
S1,Capitation reweighting only,G12,Equity and trust game,system_welfare,copayment_protections,0.2836,0.2836,positive,4.0
S1,Capitation reweighting only,G12,Equity and trust game,system_welfare,scope_flexibility,0.1575,0.1575,positive,5.0
S1,Capitation reweighting only,G13,Political economy game,system_welfare,narrative_coherence,0.5791,0.5791,positive,1.0
S1,Capitation reweighting only,G13,Political economy game,system_welfare,stakeholder_alignment,0.4688,0.4688,positive,2.0
S1,Capitation reweighting only,G13,Political economy game,system_welfare,equity_program_strength,0.4358,0.4358,positive,3.0
S1,Capitation reweighting only,G13,Political economy game,system_welfare,marginal_contact_benefit,0.3809,0.3809,positive,4.0
S1,Capitation reweighting only,G13,Political economy game,system_welfare,data_observability,0.2967,0.2967,positive,5.0
S1,Capitation reweighting only,G14,Data observability game,system_welfare,data_observability,0.891,0.891,positive,1.0
