game_id,game_name,outcome_metric,parameter,correlation,abs_correlation,direction,rank_within_game
G3,Capitation marginal-supply game,hospital_pressure,scope_flexibility,-0.9156,0.9156,negative,4.0
G3,Capitation marginal-supply game,hospital_pressure,primary_kpi_salience,-0.8745,0.8745,negative,5.0
G3,Capitation marginal-supply game,hospital_pressure,ambulance_kpi_salience,-0.8621,0.8621,negative,6.0
G3,Capitation marginal-supply game,hospital_pressure,ambulance_alternative_funding,-0.8526,0.8526,negative,7.0
G3,Capitation marginal-supply game,hospital_pressure,hospital_political_penalty,0.7236,0.7236,positive,8.0
G4,Consumer access pathway game,hospital_pressure,data_observability,-0.8714,0.8714,negative,1.0
G4,Consumer access pathway game,hospital_pressure,narrative_coherence,-0.8663,0.8663,negative,2.0
G4,Consumer access pathway game,hospital_pressure,primary_kpi_salience,-0.8423,0.8423,negative,3.0
G4,Consumer access pathway game,hospital_pressure,ambulance_alternative_funding,-0.8387,0.8387,negative,4.0
G4,Consumer access pathway game,hospital_pressure,local_inperson_loading,-0.8347,0.8347,negative,5.0
G4,Consumer access pathway game,hospital_pressure,direct_claiming,-0.8043,0.8043,negative,6.0
G4,Consumer access pathway game,hospital_pressure,marginal_contact_benefit,-0.802,0.802,negative,7.0
G4,Consumer access pathway game,hospital_pressure,ambulance_kpi_salience,-0.7785,0.7785,negative,8.0
G5,PHO intermediation game,hospital_pressure,direct_claiming,-0.9935,0.9935,negative,1.0
G5,PHO intermediation game,hospital_pressure,marginal_contact_benefit,-0.9727,0.9727,negative,2.0
G5,PHO intermediation game,hospital_pressure,pho_transaction_cost,0.9409,0.9409,positive,3.0
G5,PHO intermediation game,hospital_pressure,scope_flexibility,-0.9093,0.9093,negative,4.0
G5,PHO intermediation game,hospital_pressure,primary_kpi_salience,-0.8767,0.8767,negative,5.0
G5,PHO intermediation game,hospital_pressure,ambulance_kpi_salience,-0.8609,0.8609,negative,6.0
G5,PHO intermediation game,hospital_pressure,ambulance_alternative_funding,-0.845,0.845,negative,7.0
G5,PHO intermediation game,hospital_pressure,hospital_political_penalty,0.7275,0.7275,positive,8.0
G6,ACC/Health NZ cross-funder game,hospital_pressure,marginal_contact_benefit,-0.9467,0.9467,negative,1.0
G6,ACC/Health NZ cross-funder game,hospital_pressure,direct_claiming,-0.9321,0.9321,negative,2.0
G6,ACC/Health NZ cross-funder game,hospital_pressure,primary_kpi_salience,-0.913,0.913,negative,3.0
G6,ACC/Health NZ cross-funder game,hospital_pressure,ambulance_alternative_funding,-0.9002,0.9002,negative,4.0
G6,ACC/Health NZ cross-funder game,hospital_pressure,scope_flexibility,-0.8903,0.8903,negative,5.0
G6,ACC/Health NZ cross-funder game,hospital_pressure,ambulance_kpi_salience,-0.8902,0.8902,negative,6.0
G6,ACC/Health NZ cross-funder game,hospital_pressure,pho_transaction_cost,0.8839,0.8839,positive,7.0
G6,ACC/Health NZ cross-funder game,hospital_pressure,data_observability,-0.7644,0.7644,negative,8.0
G7,Ambulance conveyance game,hospital_pressure,ambulance_alternative_funding,-0.9222,0.9222,negative,1.0
G7,Ambulance conveyance game,hospital_pressure,data_observability,-0.8615,0.8615,negative,2.0
