scenario_id,scenario_name,game_id,game_name,outcome_metric,parameter,correlation,abs_correlation,direction,rank_within_game
S0,Status quo tight control,G5,PHO intermediation game,hospital_pressure,marginal_contact_benefit,-0.2714,0.2714,negative,3.0
S0,Status quo tight control,G5,PHO intermediation game,hospital_pressure,equity_program_strength,-0.2171,0.2171,negative,4.0
S0,Status quo tight control,G5,PHO intermediation game,hospital_pressure,stakeholder_alignment,-0.1153,0.1153,negative,5.0
S0,Status quo tight control,G6,ACC/Health NZ cross-funder game,hospital_pressure,acc_constraint,0.7903,0.7903,positive,1.0
S0,Status quo tight control,G6,ACC/Health NZ cross-funder game,hospital_pressure,marginal_contact_benefit,-0.3644,0.3644,negative,2.0
S0,Status quo tight control,G6,ACC/Health NZ cross-funder game,hospital_pressure,acc_activity_funding,-0.2911,0.2911,negative,3.0
S0,Status quo tight control,G6,ACC/Health NZ cross-funder game,hospital_pressure,ambulance_alternative_funding,-0.2888,0.2888,negative,4.0
S0,Status quo tight control,G6,ACC/Health NZ cross-funder game,hospital_pressure,data_observability,-0.212,0.212,negative,5.0
S0,Status quo tight control,G7,Ambulance conveyance game,hospital_pressure,ambulance_alternative_funding,-0.9501,0.9501,negative,1.0
S0,Status quo tight control,G7,Ambulance conveyance game,hospital_pressure,safety_governance,-0.2453,0.2453,negative,2.0
S0,Status quo tight control,G7,Ambulance conveyance game,hospital_pressure,data_observability,-0.1399,0.1399,negative,3.0
S0,Status quo tight control,G7,Ambulance conveyance game,hospital_pressure,ambulance_kpi_salience,-0.1144,0.1144,negative,4.0
S0,Status quo tight control,G7,Ambulance conveyance game,hospital_pressure,equity_program_strength,0.068,0.068,positive,5.0
S0,Status quo tight control,G8,Scope-of-practice supply game,hospital_pressure,scope_flexibility,-0.8867,0.8867,negative,1.0
S0,Status quo tight control,G8,Scope-of-practice supply game,hospital_pressure,safety_governance,-0.3199,0.3199,negative,2.0
S0,Status quo tight control,G8,Scope-of-practice supply game,hospital_pressure,marginal_contact_benefit,-0.315,0.315,negative,3.0
S0,Status quo tight control,G8,Scope-of-practice supply game,hospital_pressure,local_inperson_loading,-0.0666,0.0666,negative,4.0
S0,Status quo tight control,G8,Scope-of-practice supply game,hospital_pressure,pho_transaction_cost,0.0643,0.0643,positive,5.0
S0,Status quo tight control,G9,Telehealth/local-supply game,hospital_pressure,telehealth_integration,-0.7764,0.7764,negative,1.0
S0,Status quo tight control,G9,Telehealth/local-supply game,hospital_pressure,local_inperson_loading,-0.4323,0.4323,negative,2.0
S0,Status quo tight control,G9,Telehealth/local-supply game,hospital_pressure,marginal_contact_benefit,-0.3263,0.3263,negative,3.0
S0,Status quo tight control,G9,Telehealth/local-supply game,hospital_pressure,data_observability,-0.2994,0.2994,negative,4.0
S0,Status quo tight control,G9,Telehealth/local-supply game,hospital_pressure,telehealth_scale,0.2331,0.2331,positive,5.0
S1,Capitation reweighting only,G1,Hospital-salience budget game,hospital_pressure,hospital_political_penalty,0.7121,0.7121,positive,1.0
S1,Capitation reweighting only,G1,Hospital-salience budget game,hospital_pressure,marginal_contact_benefit,-0.5009,0.5009,negative,2.0
S1,Capitation reweighting only,G1,Hospital-salience budget game,hospital_pressure,primary_kpi_salience,-0.3761,0.3761,negative,3.0
S1,Capitation reweighting only,G1,Hospital-salience budget game,hospital_pressure,data_observability,-0.2776,0.2776,negative,4.0
S1,Capitation reweighting only,G1,Hospital-salience budget game,hospital_pressure,ambulance_kpi_salience,-0.2203,0.2203,negative,5.0
S1,Capitation reweighting only,G10,Co-payment calibration game,hospital_pressure,copayment_level,0.7604,0.7604,positive,1.0
S1,Capitation reweighting only,G10,Co-payment calibration game,hospital_pressure,copayment_protections,-0.5113,0.5113,negative,2.0
S1,Capitation reweighting only,G10,Co-payment calibration game,hospital_pressure,marginal_contact_benefit,-0.4369,0.4369,negative,3.0
S1,Capitation reweighting only,G10,Co-payment calibration game,hospital_pressure,gaming_controls,-0.0489,0.0489,negative,4.0
S1,Capitation reweighting only,G10,Co-payment calibration game,hospital_pressure,stakeholder_alignment,-0.0412,0.0412,negative,5.0
S1,Capitation reweighting only,G11,KPI salience game,hospital_pressure,primary_kpi_salience,-0.6733,0.6733,negative,1.0
S1,Capitation reweighting only,G11,KPI salience game,hospital_pressure,marginal_contact_benefit,-0.5478,0.5478,negative,2.0
S1,Capitation reweighting only,G11,KPI salience game,hospital_pressure,ambulance_kpi_salience,-0.4651,0.4651,negative,3.0
S1,Capitation reweighting only,G11,KPI salience game,hospital_pressure,data_observability,-0.144,0.144,negative,4.0
S1,Capitation reweighting only,G11,KPI salience game,hospital_pressure,gaming_controls,-0.0994,0.0994,negative,5.0
S1,Capitation reweighting only,G12,Equity and trust game,hospital_pressure,marginal_contact_benefit,-0.8167,0.8167,negative,1.0
S1,Capitation reweighting only,G12,Equity and trust game,hospital_pressure,equity_program_strength,-0.4638,0.4638,negative,2.0
S1,Capitation reweighting only,G12,Equity and trust game,hospital_pressure,stakeholder_alignment,-0.2939,0.2939,negative,3.0
S1,Capitation reweighting only,G12,Equity and trust game,hospital_pressure,copayment_protections,-0.2431,0.2431,negative,4.0
S1,Capitation reweighting only,G12,Equity and trust game,hospital_pressure,local_inperson_loading,-0.1152,0.1152,negative,5.0
S1,Capitation reweighting only,G13,Political economy game,hospital_pressure,narrative_coherence,-0.6825,0.6825,negative,1.0
S1,Capitation reweighting only,G13,Political economy game,hospital_pressure,stakeholder_alignment,-0.5414,0.5414,negative,2.0
S1,Capitation reweighting only,G13,Political economy game,hospital_pressure,direct_claiming,0.3739,0.3739,positive,3.0
S1,Capitation reweighting only,G13,Political economy game,hospital_pressure,equity_program_strength,-0.2346,0.2346,negative,4.0
S1,Capitation reweighting only,G13,Political economy game,hospital_pressure,data_observability,-0.2042,0.2042,negative,5.0
S1,Capitation reweighting only,G14,Data observability game,hospital_pressure,data_observability,-0.9572,0.9572,negative,1.0
S1,Capitation reweighting only,G14,Data observability game,hospital_pressure,marginal_contact_benefit,-0.2242,0.2242,negative,2.0
S1,Capitation reweighting only,G14,Data observability game,hospital_pressure,primary_kpi_salience,-0.1382,0.1382,negative,3.0
S1,Capitation reweighting only,G14,Data observability game,hospital_pressure,narrative_coherence,-0.0925,0.0925,negative,4.0
S1,Capitation reweighting only,G14,Data observability game,hospital_pressure,ambulance_kpi_salience,-0.0924,0.0924,negative,5.0
S1,Capitation reweighting only,G2,Health NZ internal allocation game,hospital_pressure,marginal_contact_benefit,-0.6341,0.6341,negative,1.0
S1,Capitation reweighting only,G2,Health NZ internal allocation game,hospital_pressure,primary_kpi_salience,-0.432,0.432,negative,2.0
S1,Capitation reweighting only,G2,Health NZ internal allocation game,hospital_pressure,ambulance_alternative_funding,-0.3777,0.3777,negative,3.0
S1,Capitation reweighting only,G2,Health NZ internal allocation game,hospital_pressure,data_observability,-0.3244,0.3244,negative,4.0
S1,Capitation reweighting only,G2,Health NZ internal allocation game,hospital_pressure,ambulance_kpi_salience,-0.3038,0.3038,negative,5.0
S1,Capitation reweighting only,G3,Capitation marginal-supply game,hospital_pressure,marginal_contact_benefit,-0.8752,0.8752,negative,1.0
S1,Capitation reweighting only,G3,Capitation marginal-supply game,hospital_pressure,copayment_level,-0.2967,0.2967,negative,2.0
S1,Capitation reweighting only,G3,Capitation marginal-supply game,hospital_pressure,capitation_weighting,-0.1932,0.1932,negative,3.0
S1,Capitation reweighting only,G3,Capitation marginal-supply game,hospital_pressure,ambulance_alternative_funding,-0.1646,0.1646,negative,4.0
S1,Capitation reweighting only,G3,Capitation marginal-supply game,hospital_pressure,pho_transaction_cost,0.1109,0.1109,positive,5.0
S1,Capitation reweighting only,G4,Consumer access pathway game,hospital_pressure,copayment_level,0.7625,0.7625,positive,1.0
S1,Capitation reweighting only,G4,Consumer access pathway game,hospital_pressure,copayment_protections,-0.4614,0.4614,negative,2.0
S1,Capitation reweighting only,G4,Consumer access pathway game,hospital_pressure,marginal_contact_benefit,-0.3542,0.3542,negative,3.0
S1,Capitation reweighting only,G4,Consumer access pathway game,hospital_pressure,scope_flexibility,-0.169,0.169,negative,4.0
S1,Capitation reweighting only,G4,Consumer access pathway game,hospital_pressure,ambulance_alternative_funding,-0.154,0.154,negative,5.0
S1,Capitation reweighting only,G5,PHO intermediation game,hospital_pressure,direct_claiming,-0.8475,0.8475,negative,1.0
S1,Capitation reweighting only,G5,PHO intermediation game,hospital_pressure,pho_transaction_cost,0.3713,0.3713,positive,2.0
