option_id,option,mapped_scenario,weighted_total_before_penalty,risk_penalty,risk_adjusted_score,raw_weighted_direction_minus2_to_plus2,contribution_C1,contribution_C2,contribution_C3,contribution_C4,contribution_C5,contribution_C6,contribution_C7,contribution_C8,contribution_C9,contribution_C10,weight_set_id,weight_set,rank
O7,ACC/ambulance alternatives strengthened only,partial,56.34,8.2,48.14,0.423,9.952,7.082,7.806,11.058,3.846,3.043,3.029,4.423,1.561,4.538,W3,Rural access focused,4
O2,Capitation reweighting plus access target,S1+target,54.37,6.5,47.87,0.248,8.654,5.971,8.834,10.192,3.971,3.288,2.885,4.221,1.644,4.712,W3,Rural access focused,5
O1,Capitation reweighting only,S1,52.84,5.2,47.64,0.157,8.308,5.337,8.942,10.24,4.115,3.317,2.791,4.096,1.594,4.096,W3,Rural access focused,6
O8,PHO reform/direct claims only,partial,53.51,12.25,41.26,0.256,9.606,6.058,7.212,10.048,4.038,2.885,4.183,4.135,1.183,4.163,W3,Rural access focused,7
O9,Hospital investment priority only,hospital,46.45,8.0,38.45,-0.192,5.885,4.904,6.743,8.75,2.846,3.591,3.353,4.519,1.767,4.096,W3,Rural access focused,8
O0,Status quo tight control,S0,38.2,7.5,30.7,-0.613,4.24,3.0,5.192,6.923,4.308,3.425,2.135,3.962,1.796,3.221,W3,Rural access focused,9
O6,Loose demand-driven benefits with weak controls,S4,50.52,22.75,27.77,0.054,12.591,7.038,5.769,10.481,1.971,1.269,3.678,2.462,1.125,4.135,W3,Rural access focused,10
O5,Full upstream access architecture,S3,72.22,10.35,61.87,1.377,11.893,18.482,6.905,5.667,6.429,4.648,3.387,5.957,1.429,7.429,W4,Hospital-pressure focused,1
O3,Primary Care Benefits Schedule,S2,60.95,10.1,50.85,0.668,10.768,16.161,5.286,4.438,5.429,3.714,3.0,4.757,1.393,6.0,W4,Hospital-pressure focused,2
O4,Benefits schedule plus scope-enabled eligibility,S2+scope,62.09,12.3,49.79,0.77,11.554,16.548,5.417,4.952,5.2,3.552,3.31,4.5,1.3,5.762,W4,Hospital-pressure focused,3
O7,ACC/ambulance alternatives strengthened only,partial,56.69,8.2,48.49,0.438,8.214,14.613,5.155,4.381,5.714,4.019,2.5,4.929,1.546,5.619,W4,Hospital-pressure focused,4
O2,Capitation reweighting plus access target,S1+target,54.12,6.5,47.62,0.232,7.143,12.321,5.833,4.038,5.9,4.343,2.381,4.704,1.629,5.833,W4,Hospital-pressure focused,5
O1,Capitation reweighting only,S1,51.84,5.2,46.64,0.104,6.857,11.012,5.905,4.057,6.114,4.381,2.304,4.564,1.579,5.071,W4,Hospital-pressure focused,6
O8,PHO reform/direct claims only,partial,53.37,12.25,41.12,0.246,7.929,12.5,4.762,3.981,6.0,3.81,3.452,4.607,1.171,5.155,W4,Hospital-pressure focused,7
O9,Hospital investment priority only,hospital,46.49,8.0,38.49,-0.187,4.857,10.119,4.452,3.467,4.229,4.743,2.768,5.036,1.75,5.071,W4,Hospital-pressure focused,8
O0,Status quo tight control,S0,38.73,7.5,31.23,-0.568,3.5,6.19,3.429,2.743,6.4,4.524,1.762,4.414,1.779,3.988,W4,Hospital-pressure focused,9
O6,Loose demand-driven benefits with weak controls,S4,49.5,22.75,26.75,0.002,10.393,14.524,3.81,4.152,2.929,1.676,3.036,2.743,1.114,5.119,W4,Hospital-pressure focused,10
O5,Full upstream access architecture,S3,71.27,10.35,60.92,1.318,12.488,7.763,7.25,5.95,4.5,4.88,14.225,6.255,2.5,5.46,W5,Market-entry focused,1
O3,Primary Care Benefits Schedule,S2,60.45,10.1,50.35,0.639,11.306,6.787,5.55,4.66,3.8,3.9,12.6,4.995,2.438,4.41,W5,Market-entry focused,2
O4,Benefits schedule plus scope-enabled eligibility,S2+scope,62.47,12.3,50.17,0.796,12.131,6.95,5.688,5.2,3.64,3.73,13.9,4.725,2.275,4.235,W5,Market-entry focused,3
O2,Capitation reweighting plus access target,S1+target,53.81,6.5,47.31,0.215,7.5,5.175,6.125,4.24,4.13,4.56,10.0,4.939,2.85,4.287,W5,Market-entry focused,4
O7,ACC/ambulance alternatives strengthened only,partial,55.51,8.2,47.31,0.373,8.625,6.138,5.412,4.6,4.0,4.22,10.5,5.175,2.706,4.13,W5,Market-entry focused,4
O1,Capitation reweighting only,S1,52.12,5.2,46.92,0.116,7.2,4.625,6.2,4.26,4.28,4.6,9.675,4.793,2.763,3.728,W5,Market-entry focused,6
O8,PHO reform/direct claims only,partial,56.13,12.25,43.88,0.42,8.325,5.25,5.0,4.18,4.2,4.0,14.5,4.838,2.05,3.789,W5,Market-entry focused,7
O9,Hospital investment priority only,hospital,49.31,8.0,41.31,-0.023,5.1,4.25,4.675,3.64,2.96,4.98,11.625,5.287,3.062,3.728,W5,Market-entry focused,8
O0,Status quo tight control,S0,40.06,7.5,32.56,-0.523,3.675,2.6,3.6,2.88,4.48,4.75,7.4,4.635,3.112,2.931,W5,Market-entry focused,9
O6,Loose demand-driven benefits with weak controls,S4,50.53,22.75,27.78,0.067,10.912,6.1,4.0,4.36,2.05,1.76,12.75,2.88,1.95,3.763,W5,Market-entry focused,10
