scenario_id,scenario_name,supply_generation_index_mean,supply_generation_index_std,supply_generation_index_p05,supply_generation_index_p95,equity_legitimacy_index_mean,equity_legitimacy_index_std,equity_legitimacy_index_p05,equity_legitimacy_index_p95,governance_resilience_index_mean,governance_resilience_index_std,governance_resilience_index_p05,governance_resilience_index_p95,hospital_deflection_index_mean,hospital_deflection_index_std,hospital_deflection_index_p05,hospital_deflection_index_p95,implementation_readiness_index_mean,implementation_readiness_index_std,implementation_readiness_index_p05,implementation_readiness_index_p95,fiscal_gaming_risk_index_mean,fiscal_gaming_risk_index_std,fiscal_gaming_risk_index_p05,fiscal_gaming_risk_index_p95,interaction_penalty_mean,interaction_penalty_std,interaction_penalty_p05,interaction_penalty_p95,hybrid_viability_score_mean,hybrid_viability_score_std,hybrid_viability_score_p05,hybrid_viability_score_p95
S0,Status quo tight control,15.86833,2.239207038051475,12.4975,19.740999999999996,38.4325,2.582961408856051,34.129000000000005,42.550999999999995,55.00047,1.9355125646680735,51.789,58.2105,21.75773,1.9390779175345874,18.659,25.022,39.85721,2.6266976713273555,35.6875,44.251,15.62417,1.4260629602744295,13.3095,17.9605,16.87785,1.133926217249679,15.0085,18.720499999999998,16.075290000000003,2.0392368186904397,12.769499999999999,19.402499999999996
S1,Capitation reweighting only,21.49089,2.6928707471322806,17.336,26.07,49.98405,2.6365993160610226,45.8465,54.272,59.76633,1.9940737100370836,56.619499999999995,63.0405,28.80095,2.141062948175053,25.3195,32.331999999999994,50.21002,2.7181630580246674,45.8365,54.59,13.97104,1.3000294592796715,12.0275,16.2015,12.967120000000001,0.9114288826936567,11.5595,14.4705,27.414930000000002,2.030090703235538,24.049500000000002,30.6105
S2,Primary Care Benefits Schedule,57.100519999999996,2.827269032083748,52.499,61.9215,55.00244,2.5751612185845176,50.8095,59.041,62.227019999999996,2.0927599393537135,58.706,65.7105,47.71679,2.1117798678153252,44.36,51.253499999999995,60.11749,2.755603082493602,55.4995,64.54,18.68639,1.8587230345641104,15.7295,21.820999999999998,6.46605,0.9149766553195664,5.0395,7.97,49.71237,1.9614044944097278,46.5385,52.8305
S3,Full upstream access architecture,68.11958,2.8174806513658273,63.6295,72.8905,65.52629,2.4494513564975806,61.39,69.41,71.41681,2.002521814492296,68.0295,74.51050000000001,64.13727,2.163460239363622,60.7485,67.63,76.06418,2.6881421904423233,71.568,80.55199999999999,11.97409,1.893648879274608,9.0,15.151,3.46867,0.40636173658571884,2.87,4.18,65.06638,1.6714646540354012,62.249,67.751
S4,"Loose benefits, weak controls",63.42254,2.4674738043949653,58.929,67.28,38.04806,2.5602629909802217,33.903999999999996,42.3315,43.42179,2.169199834921582,39.7695,47.08,51.6305,2.170072848124266,48.0185,55.26,36.51352,2.7058507419733697,31.979,41.0015,43.28811,2.7063253545767223,38.979499999999994,47.840500000000006,15.87753,1.2415333278265643,13.84,17.970499999999998,32.485170000000004,2.3567963977315403,28.709500000000002,36.3
